,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
83,"Aiello Leasing Co., Inc.","1021 61st Street",Brooklyn,"New York",11219,40.631996,-74.004888,1,rooftop,1021,"61st St",,,Brooklyn,NY,"Kings County",11219,US,"City of New York"
84,"Airspace Design Inc.","41 Flatbush Avenue",Brooklyn,"New York",11217,40.687416,-73.979668,1,rooftop,41,"Flatbush Ave",,,Brooklyn,NY,"Kings County",11217,US,"City of New York"
85,"Ajna Dance Inc.","360 Smith St.",Brooklyn,"New York",11231,40.679301,-73.995902,1,rooftop,360,"Smith St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
86,"Ajna Dance Inc.","360 Smith St.",Brooklyn,"New York",11231,40.679301,-73.995902,1,rooftop,360,"Smith St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
87,"Akinola Law Group, P.C.","852 Pine Street",Brooklyn,"New York",11208,40.664286,-73.868352,1,rooftop,852,"Pine St",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
88,"Akiva Supplies, Inc.","63 Flushing Ave. Unit 218",Brooklyn,"New York",11205,40.698228,-73.975163,1,rooftop,63,"Flushing Ave",Unit,218,Brooklyn,NY,"Kings County",11205,US,"City of New York"
89,"AKSH Quality Contracting Corp","5620 1st Ave",Brooklyn,"New York",11220,40.646658,-74.023271,1,rooftop,5620,"1st Ave",,,Brooklyn,NY,"Kings County",11220,US,"City of New York"
90,"Studio AKTE","108 St Nicholas Avenue",Brooklyn,"New York",11237,40.705608,-73.918676,1,rooftop,108,"St Nicholas Ave",,,Brooklyn,NY,"Kings County",11237,US,"City of New York"
91,"Al Rasheed Group of Construction Inc.","992 Coney Island Ave 2R",Brooklyn,"New York",11230,40.633356,-73.967282,1,rooftop,992,"Coney Island Ave",Apt,2R,Brooklyn,NY,"Kings County",11230,US,"City of New York"
92,"Alayjiah Cleaning Services","899 Euclid Avenue",Brooklyn,"New York",11208,40.664607,-73.86904,1,rooftop,899,"Euclid Ave",,,Brooklyn,NY,"Kings County",11208,US,"City of New York"
93,"AldoRay Industries","1542 Atlantic Ave",Brooklyn,"New York",11213,40.677771,-73.940324,1,rooftop,1542,"Atlantic Ave",,,Brooklyn,NY,"Kings County",11213,US,"City of New York"
94,"Al-Freed Radiant Construction Corp.","8609 Bay 16th Street",Brooklyn,"New York",11214,40.607675,-74.004252,1,rooftop,8609,"Bay 16th St",,,Brooklyn,NY,"Kings County",11214,US,"City of New York"
95,"Alisme Law LLC","310 Beverley Rd",Brooklyn,"New York",11218,40.642837,-73.976816,1,rooftop,310,"Beverley Rd",,,Brooklyn,NY,"Kings County",11218,US,"City of New York"
96,"Alison Clarke","28 Old Fulton Street",Brooklyn,"New York",11201,40.702304,-73.993336,1,rooftop,28,"Old Fulton St",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
97,"All Access Golf LLC","12399 Flatlands Avenue",Brooklyn,"New York",11207,40.657117,-73.877017,1,rooftop,12399,"Flatlands Ave",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
98,"All American Electrical Corporation","308 Lefferts Avenue",Brooklyn,"New York",11225,40.662199,-73.951036,1,rooftop,308,"Lefferts Ave",,,Brooklyn,NY,"Kings County",11225,US,"City of New York"
99,"ALL AROUND TRANS, INC.","2433 KNAPP STREET",Brooklyn,"New York",11235,40.593639,-73.93262,1,rooftop,2433,"Knapp St",,,Brooklyn,NY,"Kings County",11235,US,"City of New York"
100,"All Boro Electric Corp.","2568 E 17th Street Ste 101",Brooklyn,"New York",11235,40.588557,-73.9527,1,rooftop,2568,"E 17th St",Ste,101,Brooklyn,NY,"Kings County",11235,US,"City of New York"
101,"All Boroughs LLC","7 Marcus Garvey Blvd",Brooklyn,"New York",11206,40.699801,-73.941245,1,rooftop,7,"Marcus Garvey Blvd",,,Brooklyn,NY,"Kings County",11206,US,"City of New York"
102,"All Kween LLC","1010 Hancock Street",Brooklyn,"New York",11221,40.687288,-73.915833,1,rooftop,1010,"Hancock St",,,Brooklyn,NY,"Kings County",11221,US,"City of New York"
103,"All Points Cleaning Service, LLC","672 46th Street",Brooklyn,"New York",11220,40.644856,-74.004063,1,rooftop,672,"46th St",,,Brooklyn,NY,"Kings County",11220,US,"City of New York"
104,"All Supplies United Corp.","130 Lee Ave",Brooklyn,"New York",11211,40.703686,-73.957962,1,rooftop,130,"Lee Ave",,,Brooklyn,NY,"Kings County",11211,US,"City of New York"
105,"All Volts Electrical, Inc.","640 Parkside Avenue",Brooklyn,"New York",11226,40.655989,-73.952322,1,range_interpolation,640,"Parkside Ave",,,Brooklyn,NY,"Kings County",11226,US,"TIGER/Line® dataset from the US Census Bureau"
106,"All1Code, LLC","704 Hinsdale Street",Brooklyn,"New York",11207,40.657342,-73.897122,1,rooftop,704,"Hinsdale St",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
