,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
189,"Matthews Engineering","47 Faber Street","Staten Island","New York",10302,40.639172,-74.134983,1,rooftop,47,"Faber St",,,"Staten Island",NY,"Richmond County",10302,US,"City of New York"
190,"J.V. Haring","1277 Clove Road","Staten Island","New York",10301,40.61601,-74.102921,1,rooftop,1277,"Clove Rd",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
191,"Meco Electric Company, Inc.","56 West Street","Staten Island","New York",10310,40.632754,-74.118258,1,rooftop,56,"West St",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
192,"Meticulous Construction and Tool Rental, LLC","192 Westervelt Avenue","Staten Island","New York",10301,40.643267,-74.084184,1,rooftop,192,"Westervelt Ave",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
193,"Metrowide Systems, Inc.","112 Windermere Road","Staten Island","New York",10305,40.601933,-74.07867,1,rooftop,112,"Windermere Rd",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
194,"MindOpen Learning Strategies","5 Stone Street","Staten Island","New York",10304,40.627774,-74.083173,1,rooftop,5,"Stone St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
195,"Miracle Technologies Inc.","326 Seguine Ave","Staten Island","New York",10309,40.518325,-74.197223,1,rooftop,326,"Seguine Ave",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
196,"Mirmax Engineering and Land Surveying, P.C.","118 Peare Place","Staten Island","New York",10312,40.526938,-74.165524,1,rooftop,118,"Peare Pl",,,"Staten Island",NY,"Richmond County",10312,US,"City of New York"
197,"Molloy Electric, Inc.","996 Castleton Ave","Staten Island","New York",10310,40.634658,-74.115612,1,rooftop,996,"Castleton Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
198,"BMF Professional Services","29 Madan Court","Staten Island","New York",10314,40.620117,-74.15407,1,rooftop,29,"Madan Ct",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
199,"Mutaj Company Inc.","23 Montana Ct","Staten Island","New York",10303,40.630775,-74.154515,1,rooftop,23,"Montana Ct",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
200,"New Produce Trading Inc.","39 Geldner Ave","Staten Island","New York",10306,40.576417,-74.122131,1,rooftop,39,"Geldner Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
201,"New Times Carpentry NY, LLC","127 Hatfield place","Staten Island","New York",10302,40.633676,-74.138784,1,rooftop,127,"Hatfield Pl",,,"Staten Island",NY,"Richmond County",10302,US,"City of New York"
202,"New York Concrete Corporation","708 Sharrotts Rd.","Staten Island","New York",10309,40.538904,-74.241442,1,rooftop,708,"Sharrotts Rd",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
203,"New York Speech & Swallow","25 Eric Lane","Staten Island","New York",10308,40.560851,-74.155035,1,rooftop,25,"Eric Ln",,,"Staten Island",NY,"Richmond County",10308,US,"City of New York"
204,"NJS Angel Properties, Inc.","900 South Avenue","Staten Island","New York",10314,40.616788,-74.172705,1,rooftop,900,"South Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
205,"NY Mobilize Inc.","77 Canon Drive","Staten Island","New York",10314,40.578308,-74.160433,1,rooftop,77,"Canon Dr",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
206,"NYC Maintenance and Restoration, Inc","330 Stanley Avenue","Staten Island","New York",10301,40.633843,-74.095852,1,rooftop,330,"Stanley Ave",,,"Staten Island",NY,"Richmond County",10301,US,"City of New York"
207,"OhLaLaCustoms LLC","10 Dina Ct","Staten Island","New York",10306,40.564779,-74.140871,1,rooftop,10,"Dina Ct",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
208,"One of a Kind Child Care LLC","6318 Amboy Road","Staten Island","New York",10309,40.523264,-74.215795,1,rooftop,6318,"Amboy Rd",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
209,"One Time Only Inc","5 Fremont Avenue","Staten Island","New York",10306,40.58075,-74.112577,1,rooftop,5,"Fremont Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
210,"Palazzo Inc.","292 Brighton St","Staten Island","New York",10307,40.50291,-74.243199,1,rooftop,292,"Brighton St",,,"Staten Island",NY,"Richmond County",10307,US,"City of New York"
211,"Park Sales and Service Inc.","431 Henderson Ave","Staten Island","New York",10310,40.638909,-74.10703,1,rooftop,431,"Henderson Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
212,"Platinum Gold Enterprises, LLC","1718  Richmond Road","Staten Island","New York",10306,40.588083,-74.102283,1,rooftop,1718,"Richmond Rd",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
213,"Preferred Staffing Solutions, Inc.","24 Heudsen Street","Staten Island","New York",10303,40.624668,-74.081527,1,rooftop,24,"Hudson St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
214,"Preferred Staffing Solutions, Inc.","24 Heudsen Street","Staten Island","New York",10303,40.624668,-74.081527,1,rooftop,24,"Hudson St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
215,"Prema Holdings LLC","3075 Richmond Terrace","Staten Island","New York",10303,40.638132,-74.162174,1,rooftop,3075,"Richmond Ter",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
216,"Priority One Ambulance, Inc.","19 Granite Ave","Staten Island","New York",10303,40.63698,-74.146874,1,rooftop,19,"Granite Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
217,"Pro Con Group, Inc.","520 Industrial Loop","Staten Island","New York",10309,40.54816,-74.231262,1,rooftop,520,"Industrial Loop",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
218,"PS General Construction Corporation","98 Lily pond Ave","Staten Island","New York",10305,40.600713,-74.065335,1,rooftop,98,"Lily Pond Ave",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
219,"R.C. Best Cleaning Service","3751 Hylan Blvd","Staten Island","New York",10308,40.547483,-74.140377,1,rooftop,3751,"Hylan Blvd",,,"Staten Island",NY,"Richmond County",10308,US,"City of New York"
220,"Radford Utility Services","43 Radford St","Staten Island","New York",10314,40.590083,-74.16093,1,rooftop,43,"Radford St",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
221,"Raise the Roof GC, Inc.","368 Peter Avenue","Staten Island","New York",10306,40.56038,-74.113986,1,rooftop,368,"Peter Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
222,RAWRembroidery,"44 Parkview Loop","Staten Island","New York",10314,40.60874,-74.155728,1,rooftop,44,"Parkview Loop",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
223,"RDL Security Solutions, LLC","420 South Ave","Staten Island","New York",10303,40.62858,-74.166855,1,rooftop,420,"South Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
224,"Repair Sidewalk Inc","790 Richmond Rd","Staten Island","New York",10304,40.607778,-74.091453,1,rooftop,790,"Richmond Rd",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
225,"Ray Gorbea Visual Productions","205 Lawrence Avenue","Staten Island","New York",10310,40.624666,-74.106259,1,rooftop,205,"Lawrence Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
226,"Richmond Generator Corp.","841 Rennselear Avenue","Staten Island","New York",10309,40.538822,-74.202714,1,rooftop,841,"Rensselaer Ave",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
227,"Richmond Home Care Agency Inc","1375 Bay Street","Staten Island","New York",10305,40.610155,-74.063074,1,rooftop,1375,"Bay St",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
